UID	Time Start	Time End	Estimated Regime
1	11:28:27.497	11:28:27.686	0.1135
2	11:28:39.251	11:28:39.432	0.1135
3	11:28:51.392	11:28:51.518	0.1135
4	11:29:01.929	11:29:02.105	0.1135
5	11:29:06.552	11:29:06.721	0.1135
6	11:29:17.741	11:29:17.801	0.1135
7	11:29:29.464	11:29:29.628	0.1135
8	11:29:40.825	11:29:41.011	0.1135
9	11:29:49.209	11:29:49.367	0.1135
10	11:30:00.203	11:30:00.429	0.1135
11	11:30:11.673	11:30:11.846	0.1135
12	11:30:22.036	11:30:22.098	0.1135
13	11:30:33.292	11:30:33.364	0.1135
14	11:30:49.971	11:30:50.035	0.1135
15	11:30:55.622	11:30:55.893	0.1135
16	11:31:06.030	11:31:06.409	0.1135
17	11:31:11.779	11:31:11.916	0.1135
18	11:31:20.500	11:31:20.651	0.1135
19	11:31:31.968	11:31:32.095	0.1135
20	11:31:35.201	11:31:35.292	0.1135
21	11:31:41.009	11:31:41.122	0.1135
22	11:31:43.849	11:31:43.963	0.1135
23	11:31:50.662	11:31:50.787	0.1135
24	11:31:58.448	11:31:58.558	0.1135
25	11:32:05.660	11:32:05.788	0.1135
26	11:32:13.199	11:32:13.328	0.1135
27	11:32:20.753	11:32:20.856	0.1135
28	11:32:27.744	11:32:27.857	0.1135
29	11:32:36.029	11:32:36.160	0.1135
30	11:32:44.089	11:32:44.201	0.1135
31	11:33:01.509	11:33:01.619	0.1135
32	11:33:08.708	11:33:08.812	0.1135
33	11:33:15.808	11:33:15.922	0.1135
34	11:33:23.826	11:33:23.981	0.1135
35	11:33:42.392	11:33:42.501	0.1135
36	11:33:51.491	11:33:51.576	0.1135
37	11:34:01.412	11:34:01.523	0.1135
38	11:34:10.763	11:34:10.877	0.1135
39	11:34:29.233	11:34:29.325	0.1135
40	11:34:42.203	11:34:42.319	0.1135
41	11:34:52.413	11:34:52.517	0.1135
42	11:35:01.865	11:35:01.950	0.1135
43	11:35:18.958	11:35:19.080	0.1135
44	11:35:30.054	11:35:30.308	0.1135
45	11:35:47.759	11:35:47.928	0.1135
46	11:35:59.861	11:36:00.220	0.1135
47	11:36:17.128	11:36:17.255	0.1135
48	11:36:34.214	11:36:34.350	0.1135
49	11:36:49.424	11:36:49.587	0.1135
50	11:36:59.614	11:36:59.774	0.1135
51	11:37:14.806	11:37:14.905	0.1135
52	11:37:22.877	11:37:22.981	0.1135
53	11:37:34.857	11:37:34.993	0.1135
54	11:37:48.768	11:37:48.878	0.1135
55	11:38:04.245	11:38:04.334	0.1135
56	11:38:18.092	11:38:18.140	0.1913
57	11:38:21.842	11:38:21.957	0.1913
58	11:38:28.882	11:38:28.982	0.1913
59	11:38:41.688	11:38:41.785	0.1913
60	11:38:54.503	11:38:54.646	0.1913
61	11:39:09.273	11:39:09.360	0.1913
62	11:39:23.056	11:39:23.162	0.1913
63	11:39:38.357	11:39:38.447	0.1913
64	11:39:52.203	11:39:52.289	0.1913
65	11:40:04.048	11:40:04.101	0.1913
66	11:40:12.617	11:40:12.675	0.1913
67	11:40:18.115	11:40:18.178	0.1913
68	11:40:18.366	11:46:12.215	0.1913
69	11:46:12.450	11:46:12.582	0.1913
70	11:46:35.587	11:46:35.774	0.1913
71	11:46:40.306	11:46:40.447	0.1913
72	11:46:40.999	11:46:41.114	0.1913
73	11:46:45.958	11:46:46.079	0.1913
74	11:46:45.119	11:46:45.199	0.1913
75	11:46:45.733	11:46:45.821	0.1913
76	11:46:45.958	11:46:46.079	0.1913
77	11:46:46.196	11:46:46.340	0.1913
78	11:46:46.488	11:46:46.596	0.1913
79	11:46:46.737	11:46:46.894	0.1913
80	11:46:47.016	11:46:47.216	0.1913
81	11:46:47.381	11:46:47.561	0.1913
82	11:46:47.706	11:46:47.856	0.1913
83	11:46:47.987	11:46:48.119	0.1913
84	11:46:48.259	11:46:48.394	0.1913
85	11:46:46.197	11:46:46.357	0.1913
86	11:46:46.596	11:46:46.737	0.1913
87	11:46:45.810	11:46:46.069	0.1913
88	11:47:07.101	11:47:07.285	0.1913
89	11:47:07.465	11:47:07.633	0.1913
90	11:47:07.791	11:47:08.002	0.1913
91	11:47:13.989	11:47:14.284	0.1913
92	11:47:18.128	11:47:19.398	0.1913
